"Time_min","meanmass","medianmass","Q1","Q3","IQR","N_measured","rCV","Time_hrs","rep"
124.055458068848,370.822511431692,330.578324155402,152.55651763537,539.909530114151,387.353012478782,326,0.868261955710826,2.06759096781413,2
134.15180135568,427.30130796794,395.441732285878,187.511439364933,610.820445240906,423.309005875973,311,0.793219197025295,2.235863355928,2
144.247552792231,497.254779546366,502.964639125869,275.108898210482,655.4563548763,380.347456665818,344,0.560352445212039,2.40412587987052,2
154.359625395139,567.355690435747,578.438251521706,348.567466895545,765.75364571109,417.186178815545,414,0.534430352227006,2.57266042325232,2
164.455625597636,617.075736939019,611.26700677411,405.106648430507,788.282501574595,383.175853144088,414,0.464499644235984,2.74092709329393,2
174.550044035912,638.247492046893,631.149029408616,447.646472997537,817.795974137269,370.149501139732,495,0.434573718035408,2.90916740059853,2
184.678855935733,708.389987862985,672.089220144761,507.537222892223,887.571257726136,380.034034833913,630,0.418999756834777,3.07798093226222,2
194.792036557198,738.628569289929,679.071500033952,530.039000930252,865.304055511121,335.265054580869,725,0.365839834880426,3.24653394261997,2
204.920200538635,750.607814817225,703.690473262355,533.351492092018,899.792860915262,366.441368823244,836,0.385870016172279,3.41533667564392,2
215.048104055723,748.999275396833,680.324796615674,546.572019889027,877.210118611903,330.638098722876,933,0.360126269647139,3.58413506759538,2
225.177098981539,752.273821230758,689.172783287365,531.654049195979,879.45306134104,347.79901214506,1207,0.373954216198391,3.75295164969232,2
235.290440527598,784.607252846344,682.45477458504,536.374448188365,893.110089188965,356.7356410006,1686,0.387338648399339,3.92150734212663,2
245.403471684456,750.726044804508,654.454185396076,513.308263647841,852.205816369061,338.897552721219,2195,0.383713775799972,4.0900578614076,2
255.517401703199,735.546560019327,635.105791662713,501.036373100227,822.65596592904,321.619592828813,2389,0.375244756723484,4.25862336171998,2
265.633346581459,678.485659388596,567.766062616901,444.73639309911,749.255599853627,304.519206754517,3088,0.397432581942386,4.42722244302432,2
275.75199145476,611.129924987518,502.690543470133,398.293071963241,679.472923414653,281.179851451412,4079,0.414478196640027,4.595866524246,2
285.88677016894,561.246419337473,466.121243714026,369.576197324594,616.558030860139,246.981833535545,4142,0.392630761026032,4.76477950281567,2
296.023229122162,553.655639635114,448.197284201797,353.723839094637,609.538909931228,255.81507083659,4238,0.422936448237304,4.93372048536937,2
306.164707899094,531.234305646347,438.44652190242,346.490305793678,596.444452292981,249.954146499303,4819,0.422436975329012,5.10274513165157,2
316.303777170181,520.562955714745,426.767646203157,331.318675460525,576.709212217918,245.390536757393,4407,0.426073507106179,5.27172961950302,2
326.429354516665,500.459983897844,414.008696787215,314.779064107182,560.83694373738,246.057879630198,4452,0.440398692638302,5.44048924194442,2
